epoch number,train loss,validation loss,train iou_score,validation iou_score,train f1_score,validation f1_score,train f2_score,validation f2_score,train accuracy,validation accuracy,train recall,validation recall,train precision,validation precision,train specificity,validation specificity,test loss,test iou_score,test f1_score,test f2_score,test accuracy,test recall,test precision,test specificity,train iou score,train f1 score,train f2 score,validation iou score,validation f1 score,validation f2 score
1.0,0.4114335534277926,0.3480157508299901,,,,,,,0.9247907564211428,0.948355461542423,0.5965113952609428,0.6515733370414147,0.617061038198096,0.6598311846072857,0.9498446697599432,0.9695135400845454,,,,,,,,,0.4134883834258391,0.5649786181747913,0.5684803790004735,0.4754795558177508,0.6353583450500782,0.6399271946686965
2.0,0.2925592265772015,0.2988730921195103,,,,,,,0.9541289920217536,0.9555859909607812,0.6809253320935067,0.7214515163348272,0.7217328344168288,0.6909193648741796,0.974747286083993,0.9723941339896276,,,,,,,,,0.5245805406168605,0.679563758748301,0.6745677483215761,0.5415246738837316,0.6935877868762383,0.7069429823985467
3.0,0.2473704721150773,0.3877451855402726,,,,,,,0.9604719890637344,0.9208975732326508,0.72646036844575,0.8806467262598184,0.7488092284524039,0.4792231458884019,0.9781817472382878,0.9230218827724456,,,,,,,,,0.578519302137782,0.7255866607923186,0.7220622542199124,0.4515081311647708,0.6145202081937057,0.7463752673222468
4.0,0.25216979725977,0.2493953177562126,,,,,,,0.9591276049613952,0.9641097302620228,0.7261729213628876,0.7277012650783246,0.7431402544627029,0.7654067667631003,0.9767765034450574,0.9812148052912492,,,,,,,,,0.570061920064219,0.718367984455623,0.7181144698282306,0.5958044001689324,0.7377124818471762,0.7298481395611396
5.0,0.227994655625204,0.2407292012984936,,,,,,,0.9628178316555666,0.9652054630793058,0.7517175520404001,0.7413280858443334,0.7614240512419282,0.7664636877866892,0.978873616523957,0.9813169561899624,,,,,,,,,0.6037175608484933,0.746011819062608,0.7463371459017979,0.6072885508720691,0.7462140528055338,0.7415861464463748
6.0,0.2172280349088518,0.2337159193479097,,,,,,,0.9642409454570728,0.9667032269331124,0.7588211291291741,0.7378724354964036,0.7692521515856968,0.7831573623877305,0.9798872665073096,0.9835507778021004,,,,,,,,,0.6156587664330944,0.7551035124264406,0.7546091454752376,0.6177160373100867,0.754273419196789,0.7431441637185904
7.0,0.2106294136368826,0.2300139184181507,,,,,,,0.9653307112415184,0.9668289147890532,0.7657506780677967,0.7498009250714228,0.7740988028183412,0.7825254568686852,0.9805832143579976,0.9827147653469672,,,,,,,,,0.6237327610508779,0.7611648205960735,0.7605617495065324,0.6243728766074548,0.7594615587821374,0.7522084690057315
8.0,0.2107904104704267,0.2533875657961918,,,,,,,0.9653226525596018,0.9605393295104688,0.7655858297026559,0.7806613605756026,0.7776321755366379,0.7128525697267972,0.9805158128899136,0.9733918332136594,,,,,,,,,0.6254358606392079,0.7622618755597746,0.7621736533186408,0.5950475793618423,0.7364250925871042,0.7597431930211874
9.0,0.2026441914311955,0.2452712930165804,,,,,,,0.9665810251503848,0.9608105352291694,0.7717905988853969,0.8283950227957505,0.781774713751975,0.6967784601908463,0.9815019878108848,0.9703562695246476,,,,,,,,,0.634181565782997,0.7691321386380142,0.7676959191815237,0.612038078216406,0.7499694640819843,0.7926576229242178
10.0,0.1940290519360746,0.2196447184452643,,,,,,,0.9675082738479872,0.9673168177788074,0.7793050475334853,0.7886461913585663,0.7874983160683279,0.7618272144060868,0.9819362377852536,0.9803853929042816,,,,,,,,,0.6440582965197188,0.776842444800259,0.7762091863021422,0.6390269948885992,0.7701572477817535,0.779995689025292
11.0,0.1879181600688548,0.2272299344723041,,,,,,,0.9686238337098882,0.9647929874750284,0.7848353345742386,0.8138337066540351,0.7932466362299544,0.7316574362608103,0.9827830041392466,0.9758246884896205,,,,,,,,,0.6523617773913266,0.7825609867492419,0.7811804166000881,0.6320228049388299,0.7648343856518085,0.7917219606729654
12.0,0.1827365729246246,0.2211506435504326,,,,,,,0.9693730024809248,0.9668484903298892,0.7860999321669675,0.7917588834579175,0.7991192997171638,0.7631017840825595,0.98349389266432,0.979760582630451,,,,,,,,,0.6582194372509302,0.7868370688363407,0.7838846766546871,0.6400749041483953,0.7705267576070932,0.7813490285323217
13.0,0.1810125152716476,0.2111809460016397,,,,,,,0.969264585650369,0.969590459878628,0.7861645670419328,0.7638619863069974,0.7968364431616966,0.7995377870706412,0.9833849648411356,0.984769309942539,,,,,,,,,0.6569551704974657,0.7857600276389819,0.7834978512163913,0.648118807719304,0.7765178267772381,0.767951869047605
14.0,0.1837395389428299,0.2171840300926795,,,,,,,0.9690426755487248,0.9686670440893906,0.7884224525998148,0.7620267271995544,0.7973314014713416,0.7952806812066299,0.982938454392251,0.9840004444122314,,,,,,,,,0.6582907290940874,0.7869939522796803,0.7858659142858526,0.6415926378506881,0.7719486287006965,0.7645314037799835
15.0,0.1745851910516117,0.2232491855437939,,,,,,,0.970450532570314,0.9671579278432406,0.792217115337929,0.7734029430609483,0.8088633605603421,0.7711264766179599,0.984288093749057,0.9813826794807728,,,,,,,,,0.6704619948783618,0.7964936401067155,0.7929961467057132,0.6349618136882782,0.7667167301361377,0.7693677934316488
16.0,0.1751396455121844,0.2092150082954993,,,,,,,0.9704176214303863,0.9700848368497996,0.7946480847476574,0.76426506959475,0.8041103348303377,0.8037401162661039,0.9840632924872836,0.9853013937289898,,,,,,,,,0.6688864927613334,0.7945665335387326,0.7922454556722319,0.6520556922142322,0.7790300318827996,0.7691295742988586
17.0,0.1686609816015436,0.2063640080965482,,,,,,,0.971442961290981,0.9701741567024816,0.7977884097045727,0.7710517002986028,0.8150605579440513,0.8023403584957123,0.9849197824349564,0.9848578939071068,,,,,,,,,0.6798140252574106,0.8032289964429448,0.7992084019639519,0.6550040015807519,0.7812127608519334,0.7740503939298483
18.0,0.1627929371394468,0.2059043187361497,,,,,,,0.9724129183908526,0.9695779818754928,0.8022488181510669,0.7928383098198817,0.8187785563843973,0.7818198708387522,0.985662829340174,0.9825485692574428,,,,,,,,,0.6856009451191077,0.8064809408080712,0.8018128697791796,0.6570237829135015,0.7828552081034734,0.7878289383191329
19.0,0.1606643588355418,0.203874232677313,,,,,,,0.9723081756173896,0.9700864736850444,0.8036142641238952,0.7927749752998352,0.8187362765997983,0.7865181106787461,0.9854430040616668,0.983178734779358,,,,,,,,,0.6870181252447407,0.8078892210896096,0.8039588800976786,0.6601527356184446,0.7852894640885867,0.7887714344721574
20.0,0.1580391995022806,0.2151598403087029,,,,,,,0.9728371768854978,0.9693781573038834,0.8064786256029365,0.7457819489332346,0.8220415831951613,0.8144314908064328,0.9857846029688804,0.9858861336341272,,,,,,,,,0.6904752790258172,0.8099865337436118,0.8057038308529372,0.6423209928549253,0.7721818547982436,0.7548108513538654
21.0,0.1655449458722318,0.2108476872627551,,,,,,,0.9716229398598832,0.9689419154937452,0.8016761461000764,0.7867025870543259,0.814087627309092,0.7802589604487786,0.984813904494382,0.9822048246860504,,,,,,,,,0.6810921296644746,0.8036774664782407,0.8008711050065715,0.649941297677847,0.7776868320428408,0.7819316983222961
22.0,0.1552943393085779,0.2096479122455303,,,,,,,0.973081306795056,0.9689637078688697,0.8078492799501741,0.7943372634740976,0.8233596073107773,0.7769343898846552,0.9859316757555758,0.9817244662688328,,,,,,,,,0.6929693195257294,0.8117444260736529,0.8073171049021604,0.6534379399739779,0.7804341362072871,0.7875434458255768
23.0,0.153832648577315,0.2033193432367765,,,,,,,0.9733346834611356,0.9704526433577904,0.8088451108235991,0.7790093972132757,0.8265867380613692,0.8012414643397698,0.986152531055922,0.9846263642494496,,,,,,,,,0.6962540343906103,0.8144653372550279,0.8097372510459986,0.660596870459043,0.7850322127342224,0.7803110044736129
24.0,0.1500896523507793,0.2013403452359713,,,,,,,0.974000725183594,0.9709181579259726,0.8122146993540647,0.7738258403081161,0.8305075563741534,0.807071137886781,0.9866160274891372,0.9855975485765016,,,,,,,,,0.7014444939206156,0.8176613490233261,0.8123219957512416,0.6611101627349854,0.7851633933874277,0.7772032160025376
25.0,0.1466766790057836,0.2017479217969454,,,,,,,0.9743228648485762,0.9708634569094732,0.8139377497555165,0.7749508986106286,0.8345285165175963,0.8078353175750146,0.9868087634611664,0.985395018871014,,,,,,,,,0.7057400647174107,0.8210906071609325,0.815480893917298,0.6621288886437049,0.786341511286222,0.7785153022179236
26.0,0.147423140118631,0.2080082618273221,,,,,,,0.9742404985963627,0.9692875582438248,0.8148825255672584,0.7941975180919354,0.8345568260450041,0.7803176916562594,0.9866894014765708,0.9820452149097736,,,,,,,,,0.7067428720131349,0.822148377975721,0.8171832427549898,0.6566874568278973,0.7821052510004777,0.7879571914672852
27.0,0.1463175817821802,0.2055127528997568,,,,,,,0.9742859655551696,0.9696812492150528,0.8151861703797673,0.7927657824296218,0.8345265616191907,0.7825222611427307,0.9867294665133016,0.9825089894808255,,,,,,,,,0.7071980378600988,0.822373658753513,0.8174627778235446,0.6574814067437098,0.7829931126191065,0.7878532845240372
28.0,0.1459654522745797,0.204471462048017,,,,,,,0.9743127454532666,0.9704008515064532,0.8158951488773475,0.7839584579834571,0.8332075443160668,0.7927036743897659,0.9866754272010888,0.9841346649023204,,,,,,,,,0.7063010991289375,0.8214502046617229,0.8167878784490435,0.6595549766833966,0.7838953022773449,0.7827973961830139
29.0,0.148908452371533,0.2027294658697568,,,,,,,0.9750469782379236,0.9701436368318704,0.8190378191765775,0.7970094910034766,0.8400879066981627,0.7814266475347372,0.9872401678160336,0.9828145160124852,,,,,,,,,0.714449344056376,0.8274500905797723,0.8219072731693139,0.6614524607474987,0.7855244760329907,0.7914898762336144
30.0,0.1381180085492937,0.1981107707207019,,,,,,,0.9754923086487846,0.970968464246163,0.821900048282709,0.7861765462618607,0.8431565239188377,0.7999290709312146,0.9875020070022412,0.9845399237596072,,,,,,,,,0.7188488767388161,0.830450878384408,0.8248441259512741,0.6654419600963593,0.7884655067553887,0.7860724421647879
31.0,0.1455585179703959,0.2062956782487722,,,,,,,0.9756733473767056,0.9706889047072484,0.8233723265401433,0.7681976350454184,0.8442083697640494,0.809728198326551,0.9875639643561974,0.9854644284798548,,,,,,,,,0.7207237287853541,0.8317344610610705,0.8262416646721658,0.6575739509784259,0.7823056899584256,0.7724471986293793
32.0,0.1390261221467779,0.2005275235726283,,,,,,,0.9754277554790626,0.9706964584497304,0.8232625763068039,0.7897480382369115,0.8410985262206431,0.7937390529192411,0.987310596396414,0.9839009161178882,,,,,,,,,0.7179458643613237,0.8294420610652881,0.8244810720508018,0.6636491899306958,0.7871436476707458,0.7877549597850213
33.0,0.1376350655984342,0.2054543105455545,,,,,,,0.9755161732770083,0.9706204441877512,0.8240585856223375,0.7648692841713245,0.8397698335433275,0.8078165971315824,0.987334680691194,0.985782884634458,,,,,,,,,0.7173638604999928,0.8286757710274686,0.8239202994978829,0.6566966130183294,0.7814385570012606,0.7705141397622916
34.0,0.1421010072311658,0.1987586823793558,,,,,,,0.9751777869931768,0.971294994537647,0.8211021336276879,0.7809004989954141,0.8378926140538762,0.8057693403500777,0.9871891998173146,0.9853182022388164,,,,,,,,,0.7136894652013028,0.8260241981302754,0.8210463255978702,0.6657206966326787,0.7886688961432531,0.7830840257497934
35.0,0.1392418762271323,0.2022176591249612,,,,,,,0.975444336955467,0.9708391450918638,0.8222762928919846,0.7809256521555094,0.8415386295050717,0.8018597891697516,0.9874059269937236,0.984918747956936,,,,,,,,,0.7172330624601814,0.8289721192938558,0.8236587703897712,0.6632159214753371,0.786686523602559,0.7822679097835834
,,0.19531107942263284,,,,,,,,0.9710535208384196,,0.7846598923206329,,0.8249014516671499,,0.9855695366859436,,,,,,,,,,,,0.6776558260122935,0.8021188080310822,0.7910017271836599
